Prov Position,RSA Position,Station,District,Province,"January 2021 to 
March 2021","January 2022 to 
March 2022","January 2023 to 
March 2023","January 2024 to 
March 2024","January 2025 to 
March 2025",Count Diff,(%) Change
1,1,Cape Town Central,City of Cape Town District,Western Cape,1720,2653,3079,3322,3102,-220,-0.066225166
2,4,Mfuleni,City of Cape Town District,Western Cape,1344,1433,1817,1953,1938,-15,-0.007680492
3,7,Mitchells Plain,City of Cape Town District,Western Cape,1737,1973,2218,2116,1771,-345,-0.163043478
4,8,Delft,City of Cape Town District,Western Cape,1489,1564,1597,1640,1767,127,0.077439024
5,12,Kraaifontein,City of Cape Town District,Western Cape,1464,1450,1578,1784,1578,-206,-0.115470852
8,32,Nyanga,City of Cape Town District,Western Cape,1247,1301,1453,1354,1288,-66,-0.048744461
9,39,Milnerton,City of Cape Town District,Western Cape,1005,1200,1411,1261,1261,0,0
10,46,Khayelitsha,City of Cape Town District,Western Cape,1247,1086,1019,1158,1218,60,0.051813472
11,47,Bellville,City of Cape Town District,Western Cape,1218,1147,1285,1213,1212,-1,-0.000824402
12,50,Table View,City of Cape Town District,Western Cape,863,1122,1288,1249,1191,-58,-0.04643715
13,53,Kleinvlei,City of Cape Town District,Western Cape,1113,1171,1064,1220,1184,-36,-0.029508197
15,72,Bishop Lavis,City of Cape Town District,Western Cape,912,948,959,1129,1033,-96,-0.085031001
16,75,Kuilsrivier,City of Cape Town District,Western Cape,866,936,996,1029,1021,-8,-0.007774538
17,80,Somerset West,City of Cape Town District,Western Cape,783,827,887,854,999,145,0.169789227
19,89,Atlantis,City of Cape Town District,Western Cape,786,802,859,906,945,39,0.043046358
21,92,Gugulethu,City of Cape Town District,Western Cape,894,886,931,942,938,-4,-0.004246285
22,94,Grassy Park,City of Cape Town District,Western Cape,1052,1054,1093,1087,936,-151,-0.138914443
24,98,Parow,City of Cape Town District,Western Cape,1002,1083,1003,967,916,-51,-0.052740434
25,102,Elsies River,City of Cape Town District,Western Cape,796,944,1020,954,883,-71,-0.07442348
26,104,Athlone,City of Cape Town District,Western Cape,820,1004,975,1003,871,-132,-0.131605184
27,111,Lentegeur,City of Cape Town District,Western Cape,839,931,985,909,842,-67,-0.073707371
29,124,Durbanville,City of Cape Town District,Western Cape,727,792,916,953,808,-145,-0.152151102
30,125,Sea Point,City of Cape Town District,Western Cape,426,638,763,843,805,-38,-0.045077106
