"Station","Latitude","Longitude"
"Cape Town Central","-33.9253","18.4247"
"Mfuleni","-34.0016","18.6764"
"Mitchells Plain","-34.0503","18.6187"
"Delft","-33.9730","18.6455"
"Kraaifontein","-33.8478","18.7176"
"Lentegeur","-34.0390","18.6110"
"Steenberg","-34.0748","18.4408"
"Khayelitsha","-34.0490","18.6723"
"Gugulethu","-33.9810","18.5645"
"Manenberg","-33.9878","18.5558"
"Grassy Park","-34.0496","18.5057"
"Strand","-34.1080","18.8275"
"Kleinvlei","-34.0047","18.7130"
"Atlantis","-33.5667","18.4833"
"Bishop Lavis","-33.9478","18.5755"
"Nyanga","-33.9936","18.5838"
"Philippi","-34.0085","18.5670"
"Athlone","-33.96111","18.50306"
"Durbanville","-33.832500","18.647499"
"Table View","-33.9111","18.5167
"Sea Point","-33.9153","18.3925"
"Elsies River","-33.9181","18.5767"
"Bellville","-33.8943","18.6294"
"Kuilsriver","-33.9269","18.6856"
"Milnerton","-33.8667","18.5000"
"Somerset West","-34.0833","18.8333"
